stage,segment,outcome,gap_days
discovery,Enterprise,won,272
discovery,Enterprise,won,97
discovery,Enterprise,won,1
discovery,Enterprise,won,485
discovery,Enterprise,lost,0
discovery,Enterprise,lost,10
discovery,Enterprise,lost,9
discovery,Enterprise,lost,23
discovery,Enterprise,lost,11
discovery,Enterprise,lost,47
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,9
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,10
discovery,Enterprise,lost,0
discovery,Enterprise,lost,6
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,5
discovery,Enterprise,lost,0
discovery,Enterprise,lost,59
discovery,Enterprise,lost,0
discovery,Enterprise,lost,1
discovery,Enterprise,lost,2
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,18
discovery,Enterprise,lost,0
discovery,Enterprise,lost,3
discovery,Enterprise,lost,0
discovery,Enterprise,lost,105
discovery,Enterprise,lost,7
discovery,Enterprise,lost,0
discovery,Enterprise,lost,1
discovery,Enterprise,lost,0
discovery,Enterprise,lost,3
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,2
discovery,Enterprise,lost,5
discovery,Enterprise,lost,0
discovery,Enterprise,lost,5
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,87
discovery,Enterprise,lost,18
discovery,Enterprise,lost,27
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,1
discovery,Enterprise,lost,0
discovery,Enterprise,lost,6
discovery,Enterprise,lost,0
discovery,Enterprise,lost,5
discovery,Enterprise,lost,22
discovery,Enterprise,lost,10
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,45
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,19
discovery,Enterprise,lost,22
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,3
discovery,Enterprise,lost,0
discovery,Enterprise,lost,1
discovery,Enterprise,lost,4
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,7
discovery,Enterprise,lost,4
discovery,Enterprise,lost,1
discovery,Enterprise,lost,13
discovery,Enterprise,lost,134
discovery,Enterprise,lost,3
discovery,Enterprise,lost,5
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Enterprise,lost,0
discovery,Mid-Market,won,15
